# Cleaned spectrum data (original units)
# Format: Wavelength(nm) Flux(Wm^-2nm^-1)
# Created with Python spectrum processing script
# Object: DR4_3_SPLUS-n13s01_0024584
# Processing_date: 2025-08-12
# Original_file: n13s01_new_apOIII.txt
# Note: Original units
# Wavelength_units: nm
# 
# Wavelength    Flux
# ---------    ----
423.3662    4.717860e-19
423.4167    4.099032e-19
423.4671    4.727760e-19
423.5175    4.783920e-19
423.5680    4.433104e-19
423.6184    4.599147e-19
423.6689    4.820488e-19
423.7193    4.646911e-19
423.7697    4.607388e-19
423.8202    4.604611e-19
423.8706    4.523565e-19
423.9211    4.453971e-19
423.9715    4.256037e-19
424.0220    4.197196e-19
424.0724    4.688948e-19
424.1228    5.180825e-19
424.1733    4.945664e-19
424.2237    4.894976e-19
424.2742    5.379737e-19
424.3246    5.063923e-19
424.3750    4.880793e-19
424.4255    4.631421e-19
424.4759    4.636097e-19
424.5264    4.782750e-19
424.5768    5.130642e-19
424.6272    5.835033e-19
424.6777    5.605371e-19
424.7281    5.296765e-19
424.7786    4.240510e-19
424.8290    5.294018e-19
424.8794    5.188265e-19
424.9299    4.896820e-19
424.9803    4.448686e-19
425.0308    4.540003e-19
425.0812    5.974710e-19
425.1316    5.262370e-19
425.1821    4.945087e-19
425.2325    5.362296e-19
425.2830    4.496902e-19
425.3334    4.369221e-19
425.3838    5.094206e-19
425.4343    5.360846e-19
425.4847    5.043301e-19
425.5352    4.402556e-19
425.5856    4.676074e-19
425.6360    4.877555e-19
425.6865    4.938602e-19
425.7369    5.032619e-19
425.7874    5.259760e-19
425.8378    4.746285e-19
425.8882    4.764403e-19
425.9387    5.528394e-19
425.9891    5.126739e-19
426.0396    4.746925e-19
426.0900    4.828213e-19
426.1405    4.983297e-19
426.1909    4.585599e-19
426.2413    5.292545e-19
426.2918    3.693941e-19
426.3422    4.450365e-19
426.3927    5.247516e-19
426.4431    4.758188e-19
426.4935    5.325153e-19
426.5440    4.934474e-19
426.5944    5.355646e-19
426.6449    4.593442e-19
426.6953    4.265445e-19
426.7457    4.200100e-19
426.7962    4.075838e-19
426.8466    4.433726e-19
426.8971    5.235620e-19
426.9475    4.711373e-19
426.9979    4.906950e-19
427.0484    5.519892e-19
427.0988    5.146182e-19
427.1493    4.527123e-19
427.1997    4.536744e-19
427.2501    4.797603e-19
427.3006    4.487299e-19
427.3510    4.530612e-19
427.4015    5.192338e-19
427.4519    5.229122e-19
427.5023    4.905725e-19
427.5528    4.324153e-19
427.6032    5.337894e-19
427.6537    5.176283e-19
427.7041    5.560175e-19
427.7545    5.196915e-19
427.8050    4.482137e-19
427.8554    4.411219e-19
427.9059    4.610063e-19
427.9563    4.706208e-19
428.0067    5.658137e-19
428.0572    4.662027e-19
428.1076    4.458993e-19
428.1581    5.167125e-19
428.2085    5.150417e-19
428.2589    4.723093e-19
428.3094    4.800881e-19
428.3598    4.551287e-19
428.4103    5.131999e-19
428.4607    4.561789e-19
428.5112    5.183702e-19
428.5616    4.703579e-19
428.6120    4.851818e-19
428.6625    4.748383e-19
428.7129    4.733839e-19
428.7634    5.114745e-19
428.8138    4.689728e-19
428.8642    4.489054e-19
428.9147    5.222385e-19
428.9651    4.992442e-19
429.0156    4.776458e-19
429.0660    4.935117e-19
429.1164    5.018174e-19
429.1669    4.718487e-19
429.2173    4.626384e-19
429.2678    4.419222e-19
429.3182    4.470622e-19
429.3686    4.287305e-19
429.4191    4.389897e-19
429.4695    4.608416e-19
429.5200    4.453751e-19
429.5704    4.791725e-19
429.6208    4.776084e-19
429.6713    4.486058e-19
429.7217    4.458541e-19
429.7722    4.651410e-19
429.8226    4.563768e-19
429.8730    4.583502e-19
429.9235    4.639174e-19
429.9739    4.689826e-19
430.0244    4.709826e-19
430.0748    5.068524e-19
430.1252    5.122630e-19
430.1757    5.186178e-19
430.2261    4.609248e-19
430.2766    4.321989e-19
430.3270    4.894886e-19
430.3774    4.347437e-19
430.4279    4.591276e-19
430.4783    4.637776e-19
430.5288    4.865531e-19
430.5792    4.403538e-19
430.6296    4.459766e-19
430.6801    4.576556e-19
430.7305    4.338004e-19
430.7810    5.117051e-19
430.8314    4.582314e-19
430.8819    4.370624e-19
430.9323    4.630907e-19
430.9827    4.804397e-19
431.0332    4.579478e-19
431.0836    4.901044e-19
431.1341    5.394037e-19
431.1845    4.912579e-19
431.2349    4.840546e-19
431.2854    4.700615e-19
431.3358    4.911032e-19
431.3863    4.823732e-19
431.4367    4.514741e-19
431.4871    4.491806e-19
431.5376    4.336640e-19
431.5880    4.537564e-19
431.6385    4.711333e-19
431.6889    4.646500e-19
431.7393    4.504417e-19
431.7898    4.806481e-19
431.8402    4.857587e-19
431.8907    4.978075e-19
431.9411    4.943689e-19
431.9915    4.783701e-19
432.0420    5.056146e-19
432.0924    5.375117e-19
432.1429    4.854849e-19
432.1933    4.133978e-19
432.2437    4.313169e-19
432.2942    4.344935e-19
432.3446    4.279106e-19
432.3951    4.043592e-19
432.4455    4.728849e-19
432.4959    4.617392e-19
432.5464    4.488768e-19
432.5968    4.963122e-19
432.6473    4.701227e-19
432.6977    4.668923e-19
432.7481    4.573717e-19
432.7986    4.226581e-19
432.8490    4.105394e-19
432.8995    4.018349e-19
432.9499    4.346945e-19
433.0004    4.243273e-19
433.0508    4.385302e-19
433.1012    4.489143e-19
433.1517    3.962342e-19
433.2021    4.466810e-19
433.2526    4.646823e-19
433.3030    4.351272e-19
433.3534    4.120054e-19
433.4039    4.114017e-19
433.4543    4.312742e-19
433.5048    4.295359e-19
433.5552    4.353035e-19
433.6056    4.322974e-19
433.6561    4.156370e-19
433.7065    4.158432e-19
433.7570    4.757484e-19
433.8074    4.717036e-19
433.8578    4.110385e-19
433.9083    4.019466e-19
433.9587    4.438898e-19
434.0092    4.314061e-19
434.0596    4.214527e-19
434.1100    4.304703e-19
434.1605    4.200692e-19
434.2109    4.155832e-19
434.2614    4.374239e-19
434.3118    4.332933e-19
434.3622    4.264624e-19
434.4127    4.590716e-19
434.4631    4.437837e-19
434.5136    4.218909e-19
434.5640    4.603202e-19
434.6144    4.613437e-19
434.6649    4.609686e-19
434.7153    4.430540e-19
434.7658    4.295301e-19
434.8162    4.099339e-19
434.8666    4.209937e-19
434.9171    4.332002e-19
434.9675    4.261718e-19
435.0180    4.191465e-19
435.0684    4.582141e-19
435.1188    4.497639e-19
435.1693    3.954919e-19
435.2197    3.961237e-19
435.2702    4.290253e-19
435.3206    4.239102e-19
435.3711    4.124391e-19
435.4215    4.261527e-19
435.4719    4.523250e-19
435.5224    4.759767e-19
435.5728    4.329911e-19
435.6233    4.149256e-19
435.6737    4.115989e-19
435.7241    4.288390e-19
435.7746    4.800107e-19
435.8250    4.524547e-19
435.8755    4.229366e-19
435.9259    3.759598e-19
435.9763    3.625010e-19
436.0268    4.064701e-19
436.0772    4.036979e-19
436.1277    4.188232e-19
436.1781    3.958361e-19
436.2285    3.853818e-19
436.2790    4.165708e-19
436.3294    4.464903e-19
436.3799    3.907470e-19
436.4303    3.929466e-19
436.4807    3.685779e-19
436.5312    3.659719e-19
436.5816    3.707471e-19
436.6321    3.569429e-19
436.6825    3.739607e-19
436.7329    3.471640e-19
436.7834    3.835361e-19
436.8338    4.131500e-19
436.8843    4.238715e-19
436.9347    4.491120e-19
436.9851    4.822204e-19
437.0356    5.393614e-19
437.0860    5.648127e-19
437.1365    6.250856e-19
437.1869    6.771982e-19
437.2373    7.805643e-19
437.2878    8.581020e-19
437.3382    9.180116e-19
437.3887    9.546903e-19
437.4391    9.328282e-19
437.4896    9.045997e-19
437.5400    7.778919e-19
437.5904    6.832141e-19
437.6409    6.799743e-19
437.6913    5.774830e-19
437.7418    5.814068e-19
437.7922    4.931687e-19
437.8426    4.905890e-19
437.8931    4.067510e-19
437.9435    3.658734e-19
437.9940    3.741882e-19
438.0444    3.692399e-19
438.0948    3.694670e-19
438.1453    3.316491e-19
438.1957    3.768864e-19
438.2462    4.228446e-19
438.2966    3.871836e-19
438.3470    3.590009e-19
438.3975    4.005380e-19
438.4479    4.503058e-19
438.4984    4.277529e-19
438.5488    3.528777e-19
438.5992    3.949281e-19
438.6497    4.574081e-19
438.7001    4.282656e-19
438.7506    4.117877e-19
438.8010    4.235255e-19
438.8514    4.347916e-19
438.9019    4.338375e-19
438.9523    4.229775e-19
439.0028    4.395324e-19
439.0532    4.309718e-19
439.1036    4.386708e-19
439.1541    4.382174e-19
439.2045    4.502273e-19
439.2550    4.591942e-19
439.3054    4.642227e-19
439.3558    4.764936e-19
439.4063    4.464391e-19
439.4567    4.284216e-19
439.5072    4.860331e-19
439.5576    5.100304e-19
439.6080    5.105955e-19
439.6585    5.324465e-19
439.7089    5.013973e-19
439.7594    5.042867e-19
439.8098    4.909941e-19
439.8603    4.640164e-19
439.9107    4.665434e-19
439.9611    4.824362e-19
440.0116    4.652594e-19
440.0620    4.409019e-19
440.1125    4.968849e-19
440.1629    4.615171e-19
440.2133    4.259501e-19
440.2638    4.431291e-19
440.3142    4.017321e-19
440.3647    4.281195e-19
440.4151    4.176151e-19
440.4655    5.184171e-19
440.5160    4.635443e-19
440.5664    4.302083e-19
440.6169    4.208320e-19
440.6673    4.066355e-19
440.7177    4.739759e-19
440.7682    4.294632e-19
440.8186    4.376557e-19
440.8691    4.626398e-19
440.9195    4.160711e-19
440.9699    4.104271e-19
441.0204    4.330268e-19
441.0708    4.485245e-19
441.1213    4.647345e-19
441.1717    4.300462e-19
441.2221    4.169515e-19
441.2726    4.451692e-19
441.3230    4.541065e-19
441.3735    4.296290e-19
441.4239    4.273639e-19
441.4743    4.274853e-19
441.5248    4.280342e-19
441.5752    4.324618e-19
441.6257    4.162918e-19
441.6761    4.122339e-19
441.7265    4.257090e-19
441.7770    4.309442e-19
441.8274    4.217424e-19
441.8779    4.232894e-19
441.9283    4.149471e-19
441.9788    4.446987e-19
442.0292    4.382523e-19
442.0796    4.305973e-19
442.1301    4.302889e-19
442.1805    4.274267e-19
442.2310    4.647930e-19
442.2814    4.251735e-19
442.3318    4.257915e-19
442.3823    4.219851e-19
442.4327    4.542063e-19
442.4832    4.867282e-19
442.5336    4.418794e-19
442.5840    4.221123e-19
442.6345    4.147596e-19
442.6849    4.411044e-19
442.7354    4.579688e-19
442.7858    4.718614e-19
442.8362    4.345726e-19
442.8867    4.326245e-19
442.9371    4.576653e-19
442.9876    4.728250e-19
443.0380    4.546244e-19
443.0884    4.464756e-19
443.1389    4.098279e-19
443.1893    3.886153e-19
443.2398    4.302694e-19
443.2902    4.153958e-19
443.3406    4.437928e-19
443.3911    4.404209e-19
443.4415    4.709112e-19
443.4920    4.872808e-19
443.5424    4.435003e-19
443.5928    4.099908e-19
443.6433    4.290872e-19
443.6937    4.479910e-19
443.7442    4.430350e-19
443.7946    4.570644e-19
443.8450    4.460182e-19
443.8955    4.222767e-19
443.9459    4.403190e-19
443.9964    4.211991e-19
444.0468    4.415943e-19
444.0972    4.154503e-19
444.1477    4.414243e-19
444.1981    4.085289e-19
444.2486    4.651874e-19
444.2990    4.322638e-19
444.3495    4.298376e-19
444.3999    4.266407e-19
444.4503    4.349725e-19
444.5008    4.374408e-19
444.5512    4.346338e-19
444.6017    4.533102e-19
444.6521    4.292093e-19
444.7025    4.232474e-19
444.7530    4.503004e-19
444.8034    4.348281e-19
444.8539    4.347529e-19
