# Cleaned spectrum data (original units)
# Format: Wavelength(nm) Flux(Wm^-2nm^-1)
# Created with Python spectrum processing script
# Object: DR4_3_SPLUS-n14s01_0028263
# Processing_date: 2025-08-12
# Original_file: n14s01_1D_aberturaOIII.fits
# Note: Original units
# Wavelength_units: nm
# 
# Wavelength    Flux
# ---------    ----
423.3066    0.000000e+00
423.3571    0.000000e+00
423.4075    1.187411e-18
423.4579    1.181537e-18
423.5084    1.112677e-18
423.5588    1.115199e-18
423.6092    1.058654e-18
423.6596    1.094704e-18
423.7101    1.103652e-18
423.7605    1.096089e-18
423.8109    1.118622e-18
423.8614    1.157924e-18
423.9118    1.196739e-18
423.9622    1.179564e-18
424.0127    1.117477e-18
424.0631    1.198702e-18
424.1135    1.141750e-18
424.1639    1.156495e-18
424.2144    1.171080e-18
424.2648    1.256171e-18
424.3152    1.219951e-18
424.3657    1.173667e-18
424.4161    1.148350e-18
424.4665    1.216785e-18
424.5170    1.293216e-18
424.5674    1.203679e-18
424.6178    1.205234e-18
424.6682    1.169746e-18
424.7187    1.200734e-18
424.7691    1.116208e-18
424.8195    1.244475e-18
424.8700    1.303381e-18
424.9204    1.125842e-18
424.9708    1.219754e-18
425.0212    1.204304e-18
425.0717    1.229407e-18
425.1221    1.154343e-18
425.1725    1.253718e-18
425.2230    1.182188e-18
425.2734    1.212915e-18
425.3238    1.166518e-18
425.3743    1.205532e-18
425.4247    1.167583e-18
425.4751    1.127598e-18
425.5255    1.236322e-18
425.5760    1.301552e-18
425.6264    1.300932e-18
425.6768    1.262226e-18
425.7273    1.167812e-18
425.7777    1.157564e-18
425.8281    1.202256e-18
425.8786    1.170978e-18
425.9290    1.223290e-18
425.9794    1.130213e-18
426.0298    1.114424e-18
426.0803    1.221301e-18
426.1307    1.246589e-18
426.1811    1.355734e-18
426.2316    1.234048e-18
426.2820    1.265577e-18
426.3324    1.208624e-18
426.3828    1.224524e-18
426.4333    1.143539e-18
426.4837    1.017468e-18
426.5341    1.064782e-18
426.5846    1.126338e-18
426.6350    1.137992e-18
426.6854    1.189920e-18
426.7359    1.155054e-18
426.7863    1.176893e-18
426.8367    1.144930e-18
426.8871    1.141680e-18
426.9376    1.180651e-18
426.9880    1.188389e-18
427.0384    1.173407e-18
427.0889    1.195805e-18
427.1393    1.170928e-18
427.1897    1.223920e-18
427.2402    1.168112e-18
427.2906    1.198849e-18
427.3410    1.229584e-18
427.3914    1.255294e-18
427.4419    1.171691e-18
427.4923    1.143423e-18
427.5427    1.255655e-18
427.5932    1.285642e-18
427.6436    1.227349e-18
427.6940    1.160425e-18
427.7444    1.105165e-18
427.7949    1.117250e-18
427.8453    1.255751e-18
427.8957    1.117496e-18
427.9462    1.184898e-18
427.9966    1.144659e-18
428.0470    1.203125e-18
428.0975    1.260641e-18
428.1479    1.147520e-18
428.1983    1.257439e-18
428.2487    1.146333e-18
428.2992    1.083097e-18
428.3496    1.158750e-18
428.4000    1.147222e-18
428.4505    1.203262e-18
428.5009    1.196030e-18
428.5513    1.121769e-18
428.6018    1.127790e-18
428.6522    1.109909e-18
428.7026    1.100433e-18
428.7530    1.172816e-18
428.8035    1.235133e-18
428.8539    1.151238e-18
428.9043    1.218650e-18
428.9548    1.186171e-18
429.0052    1.133529e-18
429.0556    1.100812e-18
429.1060    1.128553e-18
429.1565    1.135929e-18
429.2069    1.132304e-18
429.2573    1.133525e-18
429.3078    1.104318e-18
429.3582    1.119024e-18
429.4086    1.118849e-18
429.4591    1.106811e-18
429.5095    1.141416e-18
429.5599    1.166942e-18
429.6103    1.093148e-18
429.6608    1.201046e-18
429.7112    1.165686e-18
429.7616    1.064990e-18
429.8121    1.103819e-18
429.8625    1.086720e-18
429.9129    1.121466e-18
429.9634    1.128016e-18
430.0138    1.195213e-18
430.0642    1.211229e-18
430.1146    1.136196e-18
430.1651    1.087756e-18
430.2155    1.043540e-18
430.2659    1.072007e-18
430.3164    1.061208e-18
430.3668    1.092975e-18
430.4172    1.133136e-18
430.4676    1.114928e-18
430.5181    1.174081e-18
430.5685    1.191181e-18
430.6189    1.112233e-18
430.6694    1.144612e-18
430.7198    1.175321e-18
430.7702    1.183785e-18
430.8207    1.117069e-18
430.8711    1.136603e-18
430.9215    1.159091e-18
430.9719    1.204811e-18
431.0224    1.170978e-18
431.0728    1.080138e-18
431.1232    1.181804e-18
431.1737    1.166721e-18
431.2241    1.159819e-18
431.2745    1.131626e-18
431.3250    1.130063e-18
431.3754    1.096639e-18
431.4258    1.135705e-18
431.4762    1.127546e-18
431.5267    1.071058e-18
431.5771    1.014156e-18
431.6275    1.090093e-18
431.6780    1.101412e-18
431.7284    1.155558e-18
