# Cleaned spectrum data (original units)
# Format: Wavelength(nm) Flux(Wm^-2nm^-1)
# Created with Python spectrum processing script
# Object: DR4_3_SPLUS-s27s07_0011404
# Processing_date: 2025-08-12
# Original_file: s27s07_new_apOIII.txt
# Note: Original units
# Wavelength_units: nm
# 
# Wavelength    Flux
# ---------    ----
423.4383    2.204666e-18
423.5393    2.395056e-18
423.6402    2.357215e-18
423.7412    2.516525e-18
423.8421    2.516242e-18
423.9431    2.461498e-18
424.0440    2.591416e-18
424.1450    2.506447e-18
424.2459    2.350637e-18
424.3469    2.474551e-18
424.4478    2.479777e-18
424.5487    2.388547e-18
424.6497    2.356518e-18
424.7506    2.328747e-18
424.8516    2.310108e-18
424.9525    2.274257e-18
425.0535    2.210511e-18
425.1544    2.313330e-18
425.2554    2.344868e-18
425.3563    2.258736e-18
425.4573    2.268613e-18
425.5582    2.439696e-18
425.6591    2.533137e-18
425.7601    2.371336e-18
425.8610    2.293925e-18
425.9620    2.322782e-18
426.0629    2.306547e-18
426.1639    2.449160e-18
426.2648    2.670454e-18
426.3658    2.456353e-18
426.4667    2.519005e-18
426.5677    2.323911e-18
426.6686    2.217677e-18
426.7695    2.594700e-18
426.8705    2.415693e-18
426.9714    2.347402e-18
427.0724    2.536603e-18
427.1733    2.498407e-18
427.2743    2.399616e-18
427.3752    2.370195e-18
427.4762    2.425700e-18
427.5771    2.344762e-18
427.6781    2.554361e-18
427.7790    1.775386e-18
427.8799    8.731782e-18
427.9809    3.293417e-17
428.0818    1.746286e-17
428.1828    9.830074e-18
428.2837    2.197283e-18
428.3847    2.270738e-18
428.4856    2.303694e-18
428.5866    2.239562e-18
428.6875    2.312103e-18
428.7885    2.280794e-18
428.8894    2.282314e-18
428.9903    2.314430e-18
429.0913    2.317518e-18
429.1922    2.311677e-18
429.2932    2.298650e-18
429.3941    2.374860e-18
429.4951    2.372853e-18
429.5960    2.282994e-18
429.6970    2.182501e-18
429.7979    2.124960e-18
429.8989    2.238020e-18
429.9998    2.181113e-18
430.1007    2.207786e-18
430.2017    2.290799e-18
430.3026    2.235801e-18
430.4036    2.178467e-18
430.5045    2.179254e-18
430.6055    2.181691e-18
430.7064    2.325955e-18
430.8074    2.368035e-18
430.9083    2.169476e-18
431.0093    2.213221e-18
431.1102    2.305164e-18
431.2111    2.268945e-18
431.3121    2.232563e-18
431.4130    2.199494e-18
431.5140    2.189895e-18
431.6149    2.186036e-18
431.7159    2.338654e-18
431.8168    2.244547e-18
431.9178    2.189115e-18
432.0187    2.234081e-18
432.1197    2.178938e-18
432.2206    2.234865e-18
432.3215    2.327653e-18
432.4225    2.245432e-18
432.5234    2.150942e-18
432.6244    2.190082e-18
432.7253    2.186772e-18
432.8263    2.159100e-18
432.9272    2.123127e-18
433.0282    2.123909e-18
433.1291    2.147915e-18
433.2301    2.199579e-18
