# lambda flux
# nm F$_{\lambda}$[W$m^{-2}\,nm^{-1}$]
423.23645060687613 0.0
423.3373960859589 2.4996285369535895e-18
423.4383415650417 2.20466557541304e-18
423.53928704412453 2.3950558642097154e-18
423.64023252320726 2.357215491373022e-18
423.7411780022901 2.5165253723294013e-18
423.8421234813729 2.5162416472889186e-18
423.94306896045566 2.4614980839358917e-18
424.04401443953844 2.591416072098005e-18
424.1449599186212 2.5064467251018545e-18
424.24590539770406 2.3506367754195087e-18
424.3468508767868 2.4745514981120167e-18
424.4477963558696 2.4797771831517917e-18
424.5487418349524 2.388547020789579e-18
424.6496873140352 2.3565175828723457e-18
424.75063279311803 2.3287472814352953e-18
424.85157827220075 2.310107504428986e-18
424.9525237512836 2.274257150175593e-18
425.0534692303663 2.2105110062450254e-18
425.15441470944916 2.3133299917297235e-18
425.25536018853194 2.3448679351970218e-18
425.3563056676147 2.258736007544836e-18
425.45725114669756 2.2686132509380882e-18
425.5581966257803 2.439696296114386e-18
425.6591421048631 2.53313735175947e-18
425.7600875839459 2.3713362860403626e-18
425.8610330630287 2.2939252340276118e-18
425.96197854211147 2.322782308189903e-18
426.06292402119425 2.306546820248795e-18
426.1638695002771 2.44915997379704e-18
426.2648149793598 2.670454430721352e-18
426.36576045844265 2.456352940765674e-18
426.46670593752543 2.519004972140994e-18
426.5676514166082 2.3239114945166804e-18
426.668596895691 2.2176770574650817e-18
426.7695423747738 2.594700432403649e-18
426.8704878538566 2.4156926033664793e-18
426.97143333293934 2.3474023059886135e-18
427.0723788120222 2.5366030093927023e-18
427.17332429110496 2.4984065512956007e-18
427.27426977018774 2.3996159232285927e-18
427.3752152492706 2.370194968168991e-18
427.4761607283533 2.4256997084297157e-18
427.57710620743615 2.3447617134356636e-18
427.67805168651887 2.55436098834635e-18
427.7789971656017 1.7753858577293384e-18
427.8799426446845 8.73178229913977e-18
427.9808881237673 3.2934166680474513e-17
428.0818336028501 1.7462864228040745e-17
428.18277908193284 -7.933011683579835e-19
428.2837245610157 2.1972831775318834e-18
428.38467004009846 2.270738162015915e-18
428.48561551918124 2.3036935223170306e-18
428.586560998264 2.23956213986412e-18
428.6875064773468 2.3121032927263434e-18
428.78845195642964 2.280793683607384e-18
428.88939743551236 2.2823142002775576e-18
428.9903429145952 2.3144297507519365e-18
429.091288393678 2.3175183855523465e-18
429.19223387276077 2.3116765135930238e-18
429.29317935184355 2.2986501247441216e-18
429.39412483092633 2.3748597359118895e-18
429.49507031000917 2.372852869820111e-18
429.5960157890919 2.2829942758138945e-18
